sbscrbr,Plan_Type,voice_minutes,sms_used,load_date
5879009159,PLN-2K,918,4,9/28/2018
7598506704,PLN-2K,915,6,9/28/2018
8084937991,PLN-50,909,4,9/28/2018
2749173407,PLN-2K,904,3,9/28/2018
2021807324,PLN-100,906,4,9/28/2018
8775599439,PLN-500,920,7,9/28/2018
4682544228,PLN-500,920,5,9/28/2018
7615701682,PLN-2K,909,6,9/28/2018
6515664166,PLN-100,907,7,9/28/2018
2027766534,PLN-500,903,2,9/28/2018
9866590863,PLN-50,908,2,9/28/2018
9727152829,PLN-500,914,2,9/28/2018
3932646752,PLN-2K,908,7,9/28/2018
2699592901,PLN-2K,907,1,9/28/2018
4196949779,PLN-50,920,1,9/28/2018
7969044816,PLN-2K,912,4,9/28/2018
7848228476,PLN-100,908,2,9/28/2018
3595480181,PLN-500,913,5,9/28/2018
3854509678,PLN-500,917,5,9/28/2018
7576518626,PLN-2K,919,6,9/28/2018
9194468242,PLN-100,916,2,9/28/2018
5062718206,PLN-500,908,2,9/28/2018
9497883803,PLN-50,909,2,9/28/2018
3754689807,PLN-500,908,3,9/28/2018
3819802443,PLN-2K,900,7,9/28/2018
1446730539,PLN-2K,916,7,9/28/2018
3144967947,PLN-50,915,2,9/28/2018
8632541976,PLN-2K,906,2,9/28/2018
4892011670,PLN-100,913,7,9/28/2018
4681738720,PLN-500,908,6,9/28/2018
6788186529,PLN-500,918,1,9/28/2018
5706085789,PLN-2K,918,2,9/28/2018
6138634859,PLN-100,918,1,9/28/2018
4321819908,PLN-500,905,7,9/28/2018
5218485221,PLN-50,910,6,9/28/2018
8029855518,PLN-500,910,4,9/28/2018
9425409194,PLN-2K,910,4,9/28/2018
7125213137,PLN-2K,904,7,9/28/2018
9285714279,PLN-50,910,7,9/28/2018
